rank,player,log,lda,rf,gbc,dnn,avg
132,Paul Millsap,36.61491667,36.56538089,36.21395493,36.66956201,36.3676149,36.48628588
133,Malik Monk,36.68174607,36.62656847,35.66811371,36.2242663,36.51377376,36.34289367
134,Jeremy Lin,36.82539598,36.76198855,35.36062534,36.09864495,36.37260245,36.28385146
135,Nicolas Batum,36.08439513,36.04964958,36.35360859,36.26206395,36.65487484,36.28091842
136,CJ McCollum,36.03307901,35.95042225,36.75799099,36.19619017,36.21659597,36.23085568
137,Evan Turner,36.04244794,36.01922281,35.86142064,36.32799272,36.29005258,36.10822734
138,Draymond Green,35.85128338,35.74391058,35.21832229,36.45329909,37.12564941,36.07849295
139,Larry Nance,36.46289825,36.41452013,35.08328831,35.92533842,36.46414485,36.07003799
140,Kyle Korver,35.7434065,35.7111145,36.19092424,36.71791397,35.93379749,36.05943134
141,Shaquille Harrison,36.25163521,36.23548017,35.50043093,35.66362515,36.20951825,35.97213794
142,Richaun Holmes,36.63995542,36.61417909,35.07745499,35.29985046,36.18771112,35.96383022
143,Seth Curry,35.65529372,35.65065775,36.3878257,36.20391858,35.87838478,35.95521611
144,Mitchell Robinson,36.50623171,36.48231816,35.30831875,35.15234039,36.07592086,35.90502597
145,Rudy Gay,36.24189439,36.18056322,34.80506049,35.70822037,35.94778082,35.77670386
146,Deandre Ayton,35.78340441,35.76812444,35.7654944,35.89384357,35.66224907,35.77462318
147,Kawhi Leonard,35.56746529,35.44828589,35.86432949,35.72462058,36.05872523,35.7326853
148,Anthony Davis,37.22814343,37.06852163,32.79083256,33.97065471,37.11924288,35.63547904
149,Cedi Osman,35.13031074,35.10606141,36.6319881,35.92105819,35.31965646,35.62181498
150,Ricky Rubio,35.67850833,35.56488362,35.08483378,35.46191619,35.21567949,35.40116428
151,Tony Snell,35.25089695,35.2410498,35.17704761,35.46012752,35.19951943,35.26572826
152,LeBron James,35.46857856,35.27919552,33.59600272,34.72935231,37.05897031,35.22641988
153,Wayne Selden,35.22285091,35.23587145,35.29926174,35.24266788,35.00340497,35.20081139
154,Doug McDermott,35.22661681,35.22937707,35.26947377,35.00019987,34.98354211,35.14184192
155,Jalen Brunson,35.41237542,35.36489152,34.65797351,35.12738105,35.07943342,35.12841099
156,Spencer Dinwiddie,35.04370233,34.93726243,35.20491575,35.49422612,34.93541573,35.12310447
157,Austin Rivers,34.39737983,34.39844814,36.21390973,35.63194541,34.52721557,35.03377974
158,Robin Lopez,34.57670717,34.60505675,35.82734698,35.44834529,34.44547038,34.98058531
159,Lance Stephenson,35.2968112,35.24985065,34.26515158,34.89643285,35.15036675,34.9717226
160,Yogi Ferrell,35.52874795,35.49961621,33.88565614,34.49008677,35.364212,34.95366381
161,DeAndre Jordan,35.15893598,35.12759611,34.42655239,34.80002944,35.24402117,34.95142702
162,Damyean Dotson,34.82483521,34.80542661,35.12215959,35.14021834,34.81485713,34.94149938
163,Tyus Jones,35.46026805,35.38842373,34.41556607,34.91444575,34.30870846,34.89748241
164,Andre Iguodala,34.8264404,34.78391334,34.55406086,35.41281028,34.89666027,34.89477703
165,Devin Booker,34.42059626,34.26342664,35.87389862,34.46072639,35.43395454,34.89052049
166,Josh Okogie,34.33606464,34.34260052,35.52244881,35.30248899,34.73103344,34.84692728
167,Clint Capela,34.79971791,34.76884502,34.66241538,35.0427913,34.39261354,34.73327663
168,Jimmy Butler,34.54174287,34.43718546,34.72938896,34.48906373,34.79196325,34.59786885
169,Kent Bazemore,34.73304504,34.68699063,34.25614022,34.6733616,34.62203803,34.5943151
170,Jake Layman,34.62482835,34.62495911,34.49126509,34.42794582,34.70969311,34.5757383
171,Andrew Wiggins,34.28803456,34.24769828,35.39461077,34.47265201,33.91797504,34.46419413
172,Tyreke Evans,34.86071133,34.81434585,33.74505595,34.31063658,34.44675937,34.43550182
173,Trevor Ariza,34.51158494,34.43914616,34.28310871,33.99844932,34.73335577,34.39312898
174,Kevin Knox,34.12418751,34.1255308,35.21532075,34.37944519,33.85984385,34.34086562
175,Chris Paul,34.77748682,34.59667226,33.36537444,34.30232563,34.38826865,34.28602556
176,Derrick White,34.55533365,34.50732001,33.7623222,34.42224558,34.18167097,34.28577848
177,Garrett Temple,33.42255719,33.44667548,35.77619568,34.70547829,33.96910889,34.26400311
178,Bruce Brown,33.90694611,33.94134452,34.8126815,34.52805482,34.07708384,34.25322216
179,Dewayne Dedmon,34.69428697,34.63727678,33.51900571,34.09620343,34.18894829,34.22714423
180,Kelly Oubre,34.22277917,34.16762271,34.49091193,34.35889568,33.82967947,34.21397779
181,Devin Harris,34.68831129,34.66033863,33.11004897,34.01090036,34.27813812,34.14954747
182,Eric Gordon,33.61945286,33.56177492,35.42517078,34.2259131,33.8908673,34.14463579
183,Daniel Theis,34.67780872,34.65448484,33.06080164,33.61808367,34.60267125,34.12277002
184,Alfonzo McKinnie,34.52580472,34.52869261,33.02580084,33.38519097,34.40947622,33.97499307
185,Taj Gibson,33.99467541,33.99187155,33.93244481,33.97596614,33.76955431,33.93290245
186,Kyle Kuzma,33.82582771,33.76985569,34.3014469,33.70944417,33.84484195,33.89028329
187,Jordan Bell,34.34995706,34.34141833,32.84964946,33.27962037,34.62853104,33.88983525
188,Juan Hernangomez,33.67986894,33.67642619,33.61591567,33.65124182,33.79349955,33.68339043
189,Justise Winslow,33.66931794,33.59565379,33.46880084,33.94368263,33.58612447,33.65271593
190,Noah Vonleh,33.65923751,33.61842353,33.33619226,33.52468037,33.74869437,33.57744561
191,Fred VanVleet,33.65724528,33.55744736,33.45505673,33.62599868,33.22702864,33.50455534
192,Ersan İlyasova,33.45962337,33.45047736,32.84255524,33.37461657,33.39388208,33.30423092
193,Darius Miller,32.82665948,32.79935381,34.37615309,33.63356206,32.86290817,33.29972732
194,Stanley Johnson,33.29492764,33.29556558,33.17516085,33.18419453,33.40659186,33.27128809
195,Malcolm Brogdon,33.19041283,33.12056468,32.69230913,33.00240986,33.04596852,33.010333
196,DeMarre Carroll,32.7089132,32.68520987,33.29639679,33.55092491,32.52137533,32.95256402
